,CCEQL_supply_cst,CCEQL_demand_cst,CCEQS_supply_cst,CCEQS_demand_cst,CCHHL_supply_cst,CCHHL_demand_cst,CCHHS_supply_cst,CCHHS_demand_cst,MAL_supply_cst,MAL_demand_cst,MAS_supply_cst,MAS_demand_cst,PCOX_supply_cst,PCOX_demand_cst,FWEXS_supply_cst,FWEXS_demand_cst,HTXCS_supply_cst,HTXCS_demand_cst,HTXNCS_supply_cst,HTXNCS_demand_cst,FWEXL_supply_cst,FWEXL_demand_cst,HTXCL_supply_cst,HTXCL_demand_cst,HTXNCL_supply_cst,HTXNCL_demand_cst,MEU_supply_cst,MEU_demand_cst,OLD_supply_cst,OLD_demand_cst,FWA_supply_cst,FWA_demand_cst,PMF_supply_cst,PMF_demand_cst,TRA_supply_cst,TRA_demand_cst,FWEU_supply_cst,FWEU_demand_cst,IREQ_supply_cst,IREQ_demand_cst,IRHH_supply_cst,IRHH_demand_cst,LOBDV_supply_cst,LOBDV_demand_cst,LTBDV_supply_cst,LTBDV_demand_cst,TPW_supply_cst,TPW_demand_cst,WAVFWES_supply_cst,WAVFWES_demand_cst,WAVHH_supply_cst,WAVHH_demand_cst,WAVTES_supply_cst,WAVTES_demand_cst,TTHH_supply_cst,TTHH_demand_cst,TTEQ_supply_cst,TTEQ_demand_cst
Natural_gas,0.0173168763893659,0.0,0.0105996394876228,0.0,7.852657598491242e-08,0.0,4.899333769862653e-08,0.0,0.0040814475196297,0.0,0.0004431718574605,0.0,6.38540871968324e-12,0.0,0.0005262967537517,0.0,6.283422984638275e-09,0.0,1.1041984671035191e-09,0.0,0.0007931838122724,0.0,7.061558989957802e-11,0.0,2.09991882772182e-09,0.0,2.3391336493106125e-05,0.0,9.785229649392991e-11,0.0,0.0002598704066399,0.0,8.504819400904384e-09,0.0,0.0016983343224358,0.0,1.169484777938879e-06,0.0,1.1640858260048479e-12,0.0,1.132861376155411e-11,0.0,0.000107678507247,0.0,0.0024529242863036,0.0,7.603489788520863e-09,0.0,1.9028962084721227e-08,0.0,6.754271298100532e-09,0.0,1.9893969481375962e-07,0.0,1.524527261824375e-07,0.0,0.038304209464312,0.0
Oil,0.0221913016604674,0.0,0.0069784993516016,0.0,1.0101942019138148e-07,0.0,3.2252618909087324e-08,0.0,0.0053405164986163,0.0,0.0005799514618534,0.0,1.103044445375612e-11,0.0,0.0033456031645969,0.0,5.066107726066522e-09,0.0,3.1435928850647557e-09,0.0,0.0031755008997308,0.0,1.874391113925308e-10,0.0,4.368224808377664e-09,0.0,5.3356811422284014e-05,0.0,1.4421051679426278e-10,0.0,0.0007653878202116,0.0,2.8863864082445256e-08,0.0,0.0048673032778044,0.0,0.0001301214583162,0.0,7.016993535725775e-11,0.0,3.94581908558179e-10,0.0,0.0003384447763711,0.0,0.0129751193623961,0.0,3.9204602576510216e-08,0.0,5.0010334205736815e-08,0.0,1.834410358169137e-08,0.0,3.123735720298669e-07,0.0,1.9379519382581946e-07,0.0,0.0607415076740206,0.0
Wood,0.004821285769172,0.0,0.0015184571415407,0.0,2.195070485836545e-08,0.0,7.017025268374393e-09,0.0,0.0011597252371525,0.0,0.0001313941757596,0.0,5.318780749231557e-12,0.0,0.00010622774457,0.0,1.3957682005067061e-09,0.0,3.071599081751517e-10,0.0,0.0002335660552816,0.0,1.3690586275363236e-11,0.0,4.0524461466914034e-10,0.0,1.3040637508416691e-05,0.0,3.803220066311438e-12,0.0,5.512598117675813e-05,0.0,2.491328762279309e-09,0.0,0.0004018173939238,0.0,3.5776319569849496e-05,0.0,1.937996975974862e-12,0.0,1.2094168010637792e-11,0.0,0.0769069479172659,0.0,0.0008376454454881,0.0,2.820150390098076e-09,0.0,1.4416465382207169e-08,0.0,5.643586987548453e-09,0.0,5.490436844755384e-07,0.0,3.924572541241385e-08,0.0,0.086221576065061,0.0
Hydrogen,0.0277828011890004,0.0,0.0085557728040533,0.0,1.2648364336168366e-07,0.0,3.954225988965218e-08,0.0,0.0066904766126126,0.0,0.0007264235414093,0.0,1.0881148811557849e-11,0.0,0.0032168592625864,0.0,4.179120871149875e-09,0.0,3.5764575228309806e-09,0.0,0.0027843947918934,0.0,2.554734701700409e-10,0.0,5.011384134443827e-09,0.0,4.723679705718568e-05,0.0,1.4274177072893168e-10,0.0,0.0009726688922174,0.0,3.771894836480752e-08,0.0,0.0060808033897104,0.0,0.0001286684089066,0.0,7.092131841378158e-11,0.0,3.926097948403052e-10,0.0,0.0002012734480155,0.0,0.0126104164668381,0.0,4.6193738125164986e-08,0.0,2.1160282252134308e-08,0.0,7.3368304265200154e-09,0.0,2.3850451172109045e-07,0.0,2.246503502045661e-07,0.0,0.0697981009040741,0.0
Biogas,0.0123743897522291,0.0,0.0136813967295824,0.0,5.57313428093793e-08,0.0,6.336076921844522e-08,0.0,0.0025126949662441,0.0,0.0002731702310284,0.0,3.0198859864888627e-12,0.0,0.0002462173820634,0.0,4.5295360546573735e-09,0.0,2.120304474580935e-09,0.0,0.0024050594920396,0.0,7.762242013128556e-11,0.0,2.6112220691128822e-09,0.0,0.0001256529150967,0.0,7.216103881629369e-12,0.0,0.0003685548637297,0.0,5.334046770804338e-08,0.0,0.0040870901529335,0.0,7.941121501775076e-06,0.0,8.52683486161382e-12,0.0,9.079079319977707e-11,0.0,0.0033272589565701,0.0,0.0014605830819492,0.0,1.6429906314631605e-08,0.0,5.953843008605812e-08,0.0,2.2321628079480592e-08,0.0,1.0530364499530522e-07,0.0,2.041939188942268e-07,0.0,0.0408701903896429,0.0
Heat,0.0058519027366389,0.0,0.0035663751437247,0.0,2.653439572546381e-08,0.0,1.6503575939423606e-08,0.0,0.0013566564842303,0.0,0.0001469409048728,0.0,1.605441435193248e-12,0.0,0.0001554652126252,0.0,7.674018743368076e-09,0.0,2.414401499606701e-09,0.0,0.0034664316591654,0.0,7.681894063148206e-11,0.0,2.409076965881895e-09,0.0,0.0017283642927999,0.0,5.072115477668351e-12,0.0,0.0001399979123324,0.0,6.543741951807979e-09,0.0,0.0009200533730954,0.0,1.6422032397632384e-06,0.0,5.168448872298553e-12,0.0,6.184768056781682e-11,0.0,0.0009299455438665,0.0,0.0032437299928857,0.0,1.5591584889847086e-08,0.0,4.950783684746612e-08,0.0,1.8294513210983585e-08,0.0,3.1507471768861654e-07,0.0,8.051906824144755e-08,0.0,0.0215078855258765,0.0
Electricity,0.0247173817799737,0.0,0.0081683097566919,0.0,1.1249251010201717e-07,0.0,3.7763508685161856e-08,0.0,0.0055272360401766,0.0,0.0006010851995494,0.0,5.283642251999846e-12,0.0,0.0013037900710033,0.0,4.2071351803317216e-08,0.0,2.5422584818552823e-08,0.0,0.0140882712987786,0.0,8.38635890023495e-10,0.0,2.541579745616436e-08,0.0,5.295014201045911e-05,0.0,9.012201920680216e-12,0.0,0.0005093308085068,0.0,2.5049763695346545e-08,0.0,0.0033535243275815,0.0,3.4564398545243765e-06,0.0,3.3682728564282327e-10,0.0,4.716281237549035e-09,0.0,0.0026298349996193,0.0,0.0013384881874217,0.0,8.168153154943487e-07,0.0,3.303167073232492e-06,0.0,1.243274242281392e-06,0.0,1.0501356967223988e-06,0.0,1.517058971260525e-06,0.0,0.062298829242642,0.0
Water,4.708677907706965e-05,0.0,1.475571935812794e-05,0.0,2.143507210867525e-10,0.0,6.820047441833053e-11,0.0,1.1140016810310724e-05,0.0,1.2106003407277473e-06,0.0,1.3656535998136748e-14,0.0,1.6263677843390286e-06,0.0,2.67184228928575e-10,0.0,2.6428457949292977e-11,0.0,1.119193776410545e-05,0.0,3.756286897831468e-12,0.0,1.0563778816582187e-10,0.0,1.1580660012765197e-07,0.0,2.4403456704436164e-14,0.0,8.830110641022814e-07,0.0,5.829119725269817e-11,0.0,5.784174041353424e-06,0.0,1.0280185939798637e-08,0.0,1.6328958482678826e-13,0.0,2.2992525584767322e-12,0.0,2.2731755138115847e-06,0.0,4.61714326212668e-06,0.0,5.239589191211955e-10,0.0,3.077182444748206e-07,0.0,1.0896944707751745e-07,0.0,1.0010343049561364e-05,0.0,1.0971563355919765e-07,0.0,0.0001110135967885,0.0
