,,,GWP_supply
Electricity,9,18,0.102429
Electricity,9,19,0.208233
Electricity,9,20,0.237596
Electricity,9,21,0.1899
Electricity,9,22,0.165981
Electricity,9,23,0.147606
Electricity,9,24,0.111631
Electricity,10,1,0.23830199999999999
Electricity,10,2,0.19990100000000002
Electricity,10,3,0.13877799999999998
Electricity,10,4,0.11219199999999999
Electricity,10,5,0.085103
Electricity,10,6,0.073119
Electricity,10,7,0.07280299999999999
Electricity,10,8,0.102174
Electricity,10,9,0.114807
Electricity,10,10,0.122664
Electricity,10,11,0.141512
Electricity,10,12,0.127364
Electricity,10,13,0.115258
Electricity,10,14,0.107969
Electricity,10,15,0.11461700000000001
Electricity,10,16,0.131577
Electricity,10,17,0.126892
Electricity,10,18,0.12648600000000002
Electricity,10,19,0.18659399999999998
Electricity,10,20,0.180292
Electricity,10,21,0.14108600000000002
Electricity,10,22,0.137479
Electricity,10,23,0.13829
Electricity,10,24,0.115705
Electricity,11,1,0.311257
Electricity,12,1,0.125562
