,,,GWP_supply
Electricity,10,15,0.619
Electricity,10,16,0.627
Electricity,10,17,0.618
Electricity,10,18,0.637
Electricity,10,19,0.6990000000000001
Electricity,10,20,0.696
Electricity,10,21,0.639
Electricity,10,22,0.623
Electricity,10,23,0.631
Electricity,10,24,0.5870000000000001
Electricity,11,1,0.291
Electricity,12,1,0.415
