,,,GWP_supply
Electricity,9,21,0.13123400000000002
Electricity,9,22,0.121612
Electricity,9,23,0.13581000000000001
Electricity,9,24,0.14186500000000002
Electricity,10,1,0.108196
Electricity,10,2,0.09229000000000001
Electricity,10,3,0.082569
Electricity,10,4,0.066674
Electricity,10,5,0.07140899999999999
Electricity,10,6,0.08865
Electricity,10,7,0.130102
Electricity,10,8,0.211938
Electricity,10,9,0.219524
Electricity,10,10,0.212407
Electricity,10,11,0.16601
Electricity,10,12,0.162321
Electricity,10,13,0.144961
Electricity,10,14,0.096863
Electricity,10,15,0.097062
Electricity,10,16,0.108158
Electricity,10,17,0.10129
Electricity,10,18,0.17265599999999998
Electricity,10,19,0.19433799999999998
Electricity,10,20,0.206433
Electricity,10,21,0.20937999999999998
Electricity,10,22,0.204529
Electricity,10,23,0.19844399999999998
Electricity,10,24,0.148135
Electricity,11,1,0.14209200000000002
Electricity,12,1,0.086257
